temperature,feels_like,humidity,wind_speed,weather_condition,season,age_range,style_preference,temperature_sensitivity,formality_preference,item_name,category,min_temp,max_temp,warmth_level,formality_level,item_style,is_recommended
9.3,6.8,35,7.7,clouds,spring,35-45,business,very_warm,formal,Heavy Sweater,upper,-10,10,7,5,casual,0
12.4,14.2,32,5.3,clouds,autumn,25-35,business,normal,formal,Cardigan,upper,5,18,5,6,casual,1
14.9,13.6,33,11.9,rain,autumn,35-45,business,cold,formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
7.6,7.5,66,1.8,clear,autumn,45+,casual,warm,informal,Sneakers,footwear,5,35,3,4,casual,1
7.4,5.0,72,7.3,clouds,autumn,25-35,casual,very_cold,formal,Polo Shirt,upper,15,28,2,6,casual,0
3.2,2.5,56,10.2,clear,autumn,45+,casual,very_cold,semi_formal,Dress Pants,lower,10,30,3,9,business,0
25.0,23.2,91,11.2,clear,summer,35-45,sporty,very_warm,formal,T-Shirt,upper,18,35,1,3,casual,1
23.1,20.2,62,5.6,rain,summer,45+,elegant,very_warm,formal,Winter Boots,footwear,-30,5,9,5,casual,0
1.1,0.5,70,10.5,clouds,autumn,18-25,elegant,warm,informal,Chinos,lower,10,28,3,7,business,0
-16.3,-18.1,66,4.2,clear,winter,45+,sporty,very_warm,informal,Thermal Underwear,upper,-30,0,9,2,sporty,1
18.0,14.8,41,4.9,clouds,summer,45+,casual,very_cold,informal,Waterproof Boots,footwear,0,20,5,5,casual,1
10.1,9.1,51,10.3,snow,autumn,18-25,elegant,very_warm,formal,Summer Dress,upper,20,35,1,6,elegant,0
-3.5,-3.0,37,4.9,snow,spring,18-25,sporty,very_warm,formal,Oxford Shoes,footwear,5,35,2,10,business,0
18.7,16.6,46,13.3,clear,autumn,18-25,sporty,normal,informal,Chinos,lower,10,28,3,7,business,1
-4.3,-8.4,88,13.5,snow,winter,45+,elegant,normal,semi_formal,Jeans,lower,-5,25,4,5,casual,1
-8.8,-10.4,93,11.4,clouds,spring,25-35,elegant,cold,semi_formal,Winter Hat,accessories,-30,5,8,4,casual,1
21.6,22.2,88,5.9,rain,spring,18-25,elegant,warm,informal,Jeans,lower,-5,25,4,5,casual,1
-8.1,-7.3,70,9.0,clear,autumn,45+,business,cold,semi_formal,Scarf,accessories,-30,10,7,6,elegant,1
-5.5,-7.9,83,14.8,clouds,winter,18-25,elegant,warm,semi_formal,Heavy Parka,outerwear,-30,0,10,4,casual,1
1.7,2.3,74,0.8,clouds,spring,18-25,sporty,cold,semi_formal,Scarf,accessories,-30,10,7,6,elegant,1
-12.6,-14.6,67,5.2,clouds,winter,45+,casual,normal,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
33.3,33.8,44,0.8,clear,summer,45+,elegant,very_cold,semi_formal,Blazer,outerwear,15,28,3,9,business,0
1.2,1.7,91,1.6,rain,autumn,25-35,casual,warm,formal,T-Shirt,upper,18,35,1,3,casual,0
14.4,13.7,51,0.8,drizzle,spring,18-25,business,very_cold,informal,Gloves,accessories,-30,5,8,5,casual,0
24.3,25.2,40,2.5,clear,summer,18-25,business,cold,semi_formal,Wool Coat,outerwear,-15,5,8,8,business,1
-0.8,-5.5,82,14.8,snow,winter,35-45,business,very_cold,formal,Fleece Jacket,outerwear,0,15,6,4,sporty,0
20.9,19.6,52,5.3,clouds,spring,18-25,sporty,very_warm,formal,Blazer,outerwear,15,28,3,9,business,1
15.9,12.3,47,12.8,clouds,autumn,25-35,casual,cold,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,1
-7.9,-10.7,30,5.4,snow,winter,45+,elegant,normal,formal,Fleece Jacket,outerwear,0,15,6,4,sporty,0
14.0,13.6,45,10.8,clouds,autumn,45+,sporty,very_warm,formal,Sneakers,footwear,5,35,3,4,casual,0
2.8,4.4,36,6.5,clouds,spring,25-35,elegant,very_cold,formal,Jeans,lower,-5,25,4,5,casual,0
27.7,24.8,79,2.4,clouds,summer,45+,business,cold,semi_formal,Wool Coat,outerwear,-15,5,8,8,business,1
29.6,29.3,87,13.6,clear,summer,18-25,sporty,normal,informal,Sandals,footwear,22,45,1,2,casual,1
13.3,12.3,62,13.9,drizzle,spring,45+,elegant,normal,formal,Sneakers,footwear,5,35,3,4,casual,1
3.7,-0.2,86,9.0,clear,winter,18-25,business,very_warm,semi_formal,Winter Hat,accessories,-30,5,8,4,casual,1
23.6,22.2,34,1.6,rain,autumn,35-45,elegant,very_warm,formal,Baseball Cap,accessories,15,40,0,3,sporty,1
6.3,4.2,33,0.7,clear,autumn,45+,casual,very_cold,semi_formal,Winter Jacket,outerwear,-5,10,7,5,casual,1
8.5,8.8,58,0.0,snow,winter,35-45,elegant,very_warm,formal,Baseball Cap,accessories,15,40,0,3,sporty,0
-1.6,-0.3,37,5.8,clouds,spring,18-25,elegant,very_cold,informal,Tank Top,upper,25,45,1,2,casual,0
2.2,1.4,72,11.1,snow,winter,35-45,business,warm,informal,Light Jacket,outerwear,10,20,4,6,casual,0
10.9,7.4,63,3.5,clouds,summer,35-45,casual,very_cold,informal,Chinos,lower,10,28,3,7,business,1
12.7,13.3,32,0.4,clouds,summer,45+,casual,warm,informal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
-11.5,-15.6,57,13.2,clear,winter,35-45,elegant,cold,informal,Down Jacket,outerwear,-25,5,9,5,casual,1
13.0,9.9,58,13.3,rain,autumn,18-25,sporty,very_warm,informal,Baseball Cap,accessories,15,40,0,3,sporty,1
11.8,10.2,30,14.0,clear,summer,35-45,casual,very_cold,informal,Denim Jacket,outerwear,12,22,3,5,casual,1
22.1,17.1,47,11.3,clouds,summer,35-45,business,cold,formal,Raincoat,outerwear,5,25,3,4,casual,0
31.9,28.5,66,6.7,clear,summer,25-35,sporty,very_warm,semi_formal,Polo Shirt,upper,15,28,2,6,casual,1
12.2,13.2,33,2.6,clear,summer,18-25,elegant,normal,formal,Cardigan,upper,5,18,5,6,casual,1
-5.6,-8.2,83,6.3,clouds,winter,45+,elegant,normal,formal,Winter Hat,accessories,-30,5,8,4,casual,0
-1.6,-2.5,92,11.8,clear,autumn,25-35,elegant,cold,semi_formal,Baseball Cap,accessories,15,40,0,3,sporty,0
9.5,9.2,75,4.5,rain,autumn,18-25,business,cold,semi_formal,Scarf,accessories,-30,10,7,6,elegant,1
31.3,30.1,69,12.3,clouds,spring,45+,casual,normal,formal,T-Shirt,upper,18,35,1,3,casual,1
5.7,2.8,49,8.3,clear,spring,18-25,business,very_cold,informal,Gloves,accessories,-30,5,8,5,casual,1
20.9,17.6,80,11.1,clouds,summer,45+,elegant,normal,formal,Wool Coat,outerwear,-15,5,8,8,business,0
17.9,19.3,64,3.7,rain,spring,25-35,sporty,normal,informal,Raincoat,outerwear,5,25,3,4,casual,1
20.2,15.4,46,14.4,clear,spring,45+,casual,normal,formal,Winter Jacket,outerwear,-5,10,7,5,casual,0
26.6,28.1,91,4.5,clear,summer,18-25,business,very_warm,semi_formal,Suit,upper,15,28,3,10,business,1
14.5,10.4,53,6.6,clear,spring,35-45,casual,very_cold,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
-8.1,-6.8,52,6.4,clouds,winter,35-45,sporty,cold,formal,Winter Hat,accessories,-30,5,8,4,casual,1
13.8,10.2,83,4.0,snow,autumn,25-35,business,normal,formal,Sandals,footwear,22,45,1,2,casual,0
-14.9,-19.0,64,5.7,clear,winter,25-35,elegant,very_cold,formal,Light Jacket,outerwear,10,20,4,6,casual,0
12.6,12.8,56,3.9,clear,summer,45+,elegant,normal,formal,Heavy Sweater,upper,-10,10,7,5,casual,0
10.7,10.3,80,5.9,clouds,summer,18-25,casual,very_cold,formal,Baseball Cap,accessories,15,40,0,3,sporty,0
1.0,1.7,87,11.3,clear,winter,35-45,business,very_warm,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,1
17.4,17.4,48,0.2,clouds,autumn,25-35,casual,cold,semi_formal,Tank Top,upper,25,45,1,2,casual,0
18.8,15.0,79,13.2,clouds,summer,35-45,business,very_cold,formal,Light Jacket,outerwear,10,20,4,6,casual,0
22.1,19.1,83,11.7,clear,summer,35-45,business,very_warm,formal,Winter Hat,accessories,-30,5,8,4,casual,0
20.7,19.0,64,9.1,clear,summer,45+,elegant,normal,formal,Heavy Parka,outerwear,-30,0,10,4,casual,0
18.8,17.3,73,14.0,clear,summer,25-35,elegant,normal,semi_formal,Scarf,accessories,-30,10,7,6,elegant,1
8.3,7.5,59,11.3,drizzle,autumn,18-25,business,very_warm,semi_formal,Linen Shirt,upper,22,38,1,7,business,0
30.5,27.3,58,10.8,clear,summer,45+,business,cold,semi_formal,Scarf,accessories,-30,10,7,6,elegant,0
-0.6,-1.6,53,6.6,snow,winter,18-25,business,very_cold,informal,Blazer,outerwear,15,28,3,9,business,0
6.0,5.3,50,3.5,clear,autumn,18-25,sporty,very_cold,informal,Raincoat,outerwear,5,25,3,4,casual,0
2.1,-2.2,43,13.8,clear,autumn,18-25,sporty,very_cold,informal,Winter Hat,accessories,-30,5,8,4,casual,1
14.8,14.5,79,14.5,rain,autumn,35-45,sporty,cold,formal,Suit,upper,15,28,3,10,business,0
14.0,11.9,48,3.1,clouds,autumn,45+,elegant,very_cold,semi_formal,Hoodie,upper,8,20,5,3,sporty,0
28.4,24.7,51,11.3,clear,summer,18-25,elegant,warm,informal,T-Shirt,upper,18,35,1,3,casual,1
22.5,21.6,49,6.2,clear,summer,45+,elegant,normal,formal,Tank Top,upper,25,45,1,2,casual,0
15.8,15.0,42,11.8,clouds,spring,45+,casual,very_cold,semi_formal,Dress Pants,lower,10,30,3,9,business,1
7.2,9.3,30,2.4,rain,autumn,25-35,business,normal,formal,Waterproof Boots,footwear,0,20,5,5,casual,1
21.1,18.4,59,4.1,drizzle,spring,35-45,business,very_warm,semi_formal,Linen Shirt,upper,22,38,1,7,business,1
-4.9,-8.8,76,9.6,clouds,winter,18-25,business,very_cold,informal,Hoodie,upper,8,20,5,3,sporty,0
4.4,0.0,67,6.8,clouds,winter,45+,casual,normal,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
13.3,10.5,62,5.2,drizzle,autumn,25-35,sporty,normal,informal,Suit,upper,15,28,3,10,business,0
20.6,20.3,77,2.5,clouds,spring,35-45,business,very_cold,formal,Cardigan,upper,5,18,5,6,casual,0
26.2,24.6,65,4.7,clouds,summer,18-25,elegant,cold,semi_formal,Winter Jacket,outerwear,-5,10,7,5,casual,0
10.2,5.8,30,13.1,clear,spring,45+,elegant,normal,semi_formal,Hoodie,upper,8,20,5,3,sporty,1
18.4,18.4,47,6.8,rain,autumn,35-45,elegant,cold,informal,Light Jacket,outerwear,10,20,4,6,casual,0
7.7,2.6,71,11.2,rain,autumn,45+,sporty,very_cold,informal,Raincoat,outerwear,5,25,3,4,casual,1
5.1,4.5,49,4.2,rain,spring,45+,business,warm,formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
-8.0,-11.8,75,8.8,clouds,winter,35-45,casual,very_cold,formal,Dress Pants,lower,10,30,3,9,business,0
18.7,19.9,94,8.4,clouds,autumn,35-45,business,normal,informal,Oxford Shoes,footwear,5,35,2,10,business,1
-9.0,-10.7,60,11.0,snow,winter,25-35,sporty,very_warm,semi_formal,Thermal Underwear,upper,-30,0,9,2,sporty,1
0.7,1.3,90,11.6,clear,winter,18-25,casual,very_cold,formal,Oxford Shoes,footwear,5,35,2,10,business,0
16.3,16.8,79,7.1,snow,spring,25-35,sporty,normal,formal,Hoodie,upper,8,20,5,3,sporty,1
-0.3,-0.6,60,4.3,clouds,winter,18-25,casual,normal,formal,Swim Shorts,lower,28,45,1,1,sporty,0
6.6,7.7,79,6.7,snow,autumn,25-35,casual,very_cold,formal,Gloves,accessories,-30,5,8,5,casual,1
18.3,16.5,50,1.9,snow,autumn,25-35,business,cold,semi_formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
-1.2,-0.6,68,5.9,clouds,winter,18-25,business,cold,semi_formal,Thermal Underwear,upper,-30,0,9,2,sporty,1
24.4,21.6,85,2.4,clear,summer,18-25,sporty,very_warm,formal,T-Shirt,upper,18,35,1,3,casual,1
26.1,24.2,71,5.0,clouds,summer,25-35,sporty,normal,informal,Blazer,outerwear,15,28,3,9,business,1
22.5,19.6,41,1.7,clear,summer,35-45,elegant,very_warm,formal,Dress Pants,lower,10,30,3,9,business,1
23.0,21.6,83,3.3,rain,autumn,45+,business,warm,informal,Baseball Cap,accessories,15,40,0,3,sporty,1
-2.5,-2.2,74,0.7,clouds,autumn,18-25,elegant,warm,informal,Heavy Parka,outerwear,-30,0,10,4,casual,1
29.9,29.2,84,7.2,rain,summer,25-35,casual,very_cold,formal,Cardigan,upper,5,18,5,6,casual,0
16.9,12.1,75,12.2,clouds,spring,25-35,elegant,normal,semi_formal,Summer Dress,upper,20,35,1,6,elegant,0
0.2,-1.1,84,8.6,clear,winter,18-25,sporty,normal,informal,Raincoat,outerwear,5,25,3,4,casual,0
21.0,19.6,49,5.5,rain,spring,25-35,elegant,warm,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,0
11.2,7.5,84,13.3,snow,spring,35-45,casual,very_cold,informal,Baseball Cap,accessories,15,40,0,3,sporty,0
-3.3,-6.5,49,2.9,drizzle,autumn,45+,sporty,very_cold,informal,Waterproof Boots,footwear,0,20,5,5,casual,0
-3.9,-3.4,32,5.6,snow,winter,35-45,sporty,cold,formal,Winter Jacket,outerwear,-5,10,7,5,casual,1
35.1,37.3,50,1.7,clear,summer,45+,sporty,very_cold,formal,Raincoat,outerwear,5,25,3,4,casual,0
15.8,15.0,42,11.8,clouds,spring,45+,casual,very_cold,semi_formal,Cardigan,upper,5,18,5,6,casual,1
-6.4,-5.3,60,8.2,clear,winter,18-25,elegant,normal,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
20.6,18.6,52,8.9,clear,summer,35-45,business,very_warm,formal,Jeans,lower,-5,25,4,5,casual,0
19.0,17.5,54,2.0,drizzle,autumn,35-45,business,normal,formal,Blazer,outerwear,15,28,3,9,business,1
2.5,-1.1,67,13.6,clouds,spring,35-45,business,very_cold,formal,Wool Coat,outerwear,-15,5,8,8,business,1
14.4,12.7,76,1.4,clouds,autumn,18-25,sporty,very_warm,formal,Cardigan,upper,5,18,5,6,casual,0
-4.4,-4.7,48,7.4,snow,winter,45+,elegant,very_cold,informal,Chinos,lower,10,28,3,7,business,0
21.8,17.6,38,9.1,rain,spring,45+,business,very_cold,semi_formal,Heavy Parka,outerwear,-30,0,10,4,casual,0
31.1,31.2,90,5.8,clouds,summer,25-35,elegant,normal,semi_formal,Tank Top,upper,25,45,1,2,casual,0
23.5,22.0,46,6.9,snow,autumn,35-45,elegant,very_cold,informal,Sandals,footwear,22,45,1,2,casual,0
1.1,-1.7,42,1.5,clear,winter,25-35,elegant,cold,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
2.9,-1.1,34,9.6,rain,autumn,45+,sporty,warm,formal,Dress Pants,lower,10,30,3,9,business,0
4.5,4.7,46,4.1,drizzle,autumn,18-25,casual,very_cold,formal,T-Shirt,upper,18,35,1,3,casual,0
-16.0,-17.3,50,8.9,clouds,winter,18-25,business,cold,semi_formal,Tank Top,upper,25,45,1,2,casual,0
8.5,8.6,55,12.7,clouds,spring,18-25,elegant,cold,semi_formal,Hoodie,upper,8,20,5,3,sporty,0
19.9,21.6,32,4.9,drizzle,autumn,25-35,casual,warm,formal,Light Jacket,outerwear,10,20,4,6,casual,1
18.2,15.0,56,11.4,clouds,summer,45+,elegant,very_cold,semi_formal,Denim Jacket,outerwear,12,22,3,5,casual,1
25.0,24.6,34,5.6,clear,summer,18-25,elegant,warm,semi_formal,Chinos,lower,10,28,3,7,business,1
13.7,12.7,52,13.6,clear,spring,45+,casual,very_cold,semi_formal,Polo Shirt,upper,15,28,2,6,casual,1
22.8,22.1,66,0.2,clouds,summer,45+,elegant,very_cold,informal,Baseball Cap,accessories,15,40,0,3,sporty,0
20.3,19.1,39,10.4,clear,summer,35-45,business,very_warm,semi_formal,Shorts,lower,20,40,1,3,casual,1
14.7,13.0,30,3.2,clear,spring,18-25,sporty,cold,semi_formal,Polo Shirt,upper,15,28,2,6,casual,0
-12.0,-15.4,90,3.7,clouds,winter,35-45,elegant,normal,informal,Sandals,footwear,22,45,1,2,casual,0
4.9,6.3,84,5.1,clear,autumn,18-25,sporty,normal,informal,Dress Pants,lower,10,30,3,9,business,0
19.4,15.5,72,9.2,drizzle,spring,25-35,elegant,very_cold,formal,Jeans,lower,-5,25,4,5,casual,0
2.4,0.3,72,11.6,snow,winter,45+,casual,very_cold,semi_formal,Polo Shirt,upper,15,28,2,6,casual,0
-11.5,-11.9,68,7.1,snow,winter,45+,business,warm,informal,Oxford Shoes,footwear,5,35,2,10,business,0
33.2,28.3,80,11.5,clouds,summer,35-45,business,warm,informal,Swim Shorts,lower,28,45,1,1,sporty,1
-0.7,-2.6,85,2.6,clouds,winter,18-25,elegant,warm,semi_formal,Chinos,lower,10,28,3,7,business,0
19.0,19.0,85,12.7,clear,autumn,18-25,elegant,warm,semi_formal,Swim Shorts,lower,28,45,1,1,sporty,0
16.2,14.3,35,3.8,rain,spring,35-45,business,very_warm,semi_formal,Dress Pants,lower,10,30,3,9,business,1
17.0,17.1,57,10.0,snow,autumn,45+,sporty,very_warm,formal,Sunglasses,accessories,15,45,0,5,casual,1
14.9,16.1,30,5.2,clear,summer,45+,casual,very_cold,semi_formal,Blazer,outerwear,15,28,3,9,business,0
25.8,23.6,69,2.4,snow,spring,45+,elegant,normal,semi_formal,Denim Jacket,outerwear,12,22,3,5,casual,0
17.4,16.6,75,10.6,rain,spring,25-35,elegant,cold,semi_formal,Waterproof Boots,footwear,0,20,5,5,casual,1
13.9,10.2,48,5.1,clouds,autumn,45+,casual,normal,semi_formal,Light Jacket,outerwear,10,20,4,6,casual,1
1.1,-4.4,83,14.2,clouds,winter,25-35,elegant,very_warm,informal,Umbrella,accessories,-10,35,0,5,casual,1
8.3,8.5,39,1.1,rain,autumn,35-45,casual,very_cold,formal,Down Jacket,outerwear,-25,5,9,5,casual,1
23.6,22.1,72,12.8,clouds,autumn,25-35,casual,warm,formal,Blazer,outerwear,15,28,3,9,business,1
20.2,15.4,46,14.4,clear,spring,45+,casual,normal,formal,Dress Pants,lower,10,30,3,9,business,1
-33.1,-31.8,49,0.3,clear,winter,25-35,sporty,very_warm,informal,Jeans,lower,-5,25,4,5,casual,0
38.7,38.2,56,10.9,clear,summer,18-25,sporty,very_cold,informal,Swim Shorts,lower,28,45,1,1,sporty,1
17.5,13.0,31,13.2,clouds,summer,18-25,casual,very_cold,formal,Denim Jacket,outerwear,12,22,3,5,casual,1
-10.7,-8.4,85,3.4,snow,winter,35-45,business,cold,informal,Heavy Sweater,upper,-10,10,7,5,casual,0
24.8,22.3,59,8.6,clear,summer,45+,elegant,very_cold,formal,Chinos,lower,10,28,3,7,business,1
13.0,10.7,60,8.3,clouds,spring,18-25,casual,normal,formal,Scarf,accessories,-30,10,7,6,elegant,1
6.6,4.6,63,8.4,clouds,autumn,18-25,elegant,cold,semi_formal,Summer Dress,upper,20,35,1,6,elegant,0
31.9,32.5,40,2.1,clear,summer,35-45,casual,very_cold,formal,Tank Top,upper,25,45,1,2,casual,1
18.3,19.0,46,9.6,clouds,spring,18-25,casual,very_cold,formal,Sneakers,footwear,5,35,3,4,casual,1
15.0,10.7,58,10.6,clear,winter,18-25,sporty,normal,informal,Light Jacket,outerwear,10,20,4,6,casual,1
30.1,28.5,58,2.5,clouds,summer,18-25,business,cold,semi_formal,Sandals,footwear,22,45,1,2,casual,0
2.8,1.4,93,1.9,snow,autumn,18-25,elegant,cold,semi_formal,Sunglasses,accessories,15,45,0,5,casual,0
32.7,27.8,75,11.6,clouds,summer,45+,business,very_cold,semi_formal,Hoodie,upper,8,20,5,3,sporty,0
8.7,9.7,87,8.3,rain,autumn,45+,casual,very_cold,semi_formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
13.1,8.9,63,11.0,rain,spring,35-45,casual,very_cold,informal,Winter Boots,footwear,-30,5,9,5,casual,0
1.9,0.8,92,5.2,clouds,autumn,25-35,sporty,cold,formal,Wool Coat,outerwear,-15,5,8,8,business,1
17.4,17.1,41,8.7,clouds,spring,18-25,elegant,cold,semi_formal,Waterproof Boots,footwear,0,20,5,5,casual,0
-18.8,-20.1,92,1.4,clouds,winter,18-25,sporty,very_warm,informal,T-Shirt,upper,18,35,1,3,casual,0
21.4,21.5,44,11.4,clear,spring,35-45,elegant,very_warm,informal,Wool Coat,outerwear,-15,5,8,8,business,0
1.3,0.2,56,5.2,snow,spring,18-25,elegant,cold,semi_formal,Shorts,lower,20,40,1,3,casual,0
16.5,12.8,67,13.3,clouds,autumn,25-35,sporty,cold,formal,Jeans,lower,-5,25,4,5,casual,0
2.6,2.3,35,12.4,clear,winter,18-25,elegant,warm,informal,Swim Shorts,lower,28,45,1,1,sporty,0
10.8,8.6,70,3.4,clouds,winter,45+,casual,warm,informal,Baseball Cap,accessories,15,40,0,3,sporty,1
16.8,15.3,40,10.0,rain,spring,25-35,elegant,very_cold,formal,Waterproof Boots,footwear,0,20,5,5,casual,0
3.9,-1.1,92,14.4,drizzle,spring,25-35,casual,very_cold,formal,Down Jacket,outerwear,-25,5,9,5,casual,1
-3.0,-5.0,72,3.1,clear,winter,45+,elegant,very_cold,informal,Swim Shorts,lower,28,45,1,1,sporty,0
22.2,22.8,37,10.6,clear,summer,45+,sporty,very_cold,informal,Hoodie,upper,8,20,5,3,sporty,1
21.9,19.3,45,9.4,clear,summer,18-25,sporty,very_warm,informal,Winter Jacket,outerwear,-5,10,7,5,casual,0
12.3,8.0,80,14.4,drizzle,autumn,25-35,elegant,normal,formal,Linen Shirt,upper,22,38,1,7,business,0
-5.1,-6.7,49,7.7,snow,winter,18-25,sporty,very_cold,informal,Sandals,footwear,22,45,1,2,casual,0
-11.6,-15.8,65,14.2,clouds,winter,18-25,sporty,very_cold,informal,Summer Dress,upper,20,35,1,6,elegant,0
27.8,23.4,54,12.5,clear,summer,25-35,casual,very_cold,formal,Sunglasses,accessories,15,45,0,5,casual,1
23.0,24.7,66,1.6,clear,summer,45+,casual,normal,formal,Fleece Jacket,outerwear,0,15,6,4,sporty,0
6.8,8.2,87,0.9,snow,winter,25-35,sporty,normal,informal,Jeans,lower,-5,25,4,5,casual,1
19.6,13.9,84,14.6,clear,spring,18-25,elegant,cold,semi_formal,Sunglasses,accessories,15,45,0,5,casual,1
-20.3,-21.5,92,2.6,clear,winter,35-45,sporty,very_warm,formal,Gloves,accessories,-30,5,8,5,casual,0
3.8,4.4,65,5.3,drizzle,autumn,18-25,sporty,very_warm,semi_formal,T-Shirt,upper,18,35,1,3,casual,0
10.8,8.5,64,11.2,rain,autumn,18-25,casual,very_warm,informal,Cardigan,upper,5,18,5,6,casual,1
22.3,20.5,62,9.0,clear,summer,25-35,business,normal,formal,Chinos,lower,10,28,3,7,business,1
8.6,4.8,87,12.2,rain,spring,18-25,sporty,very_cold,informal,Chinos,lower,10,28,3,7,business,0
21.6,22.2,88,5.9,rain,spring,18-25,elegant,warm,informal,Winter Hat,accessories,-30,5,8,4,casual,0
2.4,-2.2,41,8.9,snow,winter,45+,casual,warm,informal,Raincoat,outerwear,5,25,3,4,casual,1
18.9,15.4,56,4.4,drizzle,spring,18-25,casual,very_cold,formal,Chinos,lower,10,28,3,7,business,1
22.0,22.1,33,11.4,clouds,spring,18-25,business,cold,semi_formal,Blazer,outerwear,15,28,3,9,business,1
0.2,0.8,82,8.1,snow,winter,18-25,sporty,normal,informal,Linen Shirt,upper,22,38,1,7,business,0
-6.8,-6.6,43,3.4,clear,winter,35-45,business,very_warm,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,1
21.4,16.4,55,14.8,clouds,spring,35-45,business,normal,formal,Winter Hat,accessories,-30,5,8,4,casual,0
14.5,12.9,64,11.5,clear,spring,35-45,sporty,cold,formal,Denim Jacket,outerwear,12,22,3,5,casual,0
0.8,-2.3,39,9.0,clear,winter,25-35,business,warm,informal,Wool Coat,outerwear,-15,5,8,8,business,1
17.6,14.9,42,13.8,clear,autumn,35-45,casual,very_cold,informal,Winter Boots,footwear,-30,5,9,5,casual,0
-19.6,-23.3,85,6.3,clear,winter,25-35,elegant,normal,formal,Thermal Underwear,upper,-30,0,9,2,sporty,0
16.9,14.9,46,6.0,clear,autumn,45+,sporty,very_cold,formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
14.3,11.4,75,14.0,clouds,spring,45+,business,warm,formal,Cardigan,upper,5,18,5,6,casual,0
20.9,17.2,71,12.2,clear,summer,18-25,elegant,very_warm,formal,Oxford Shoes,footwear,5,35,2,10,business,1
18.8,13.9,78,14.8,clouds,autumn,35-45,elegant,cold,informal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
0.3,1.0,39,10.3,clouds,autumn,35-45,business,very_cold,formal,Summer Dress,upper,20,35,1,6,elegant,0
0.4,-1.9,49,4.1,clear,winter,45+,elegant,very_cold,formal,Blazer,outerwear,15,28,3,9,business,0
-7.1,-7.2,37,12.6,clouds,winter,45+,elegant,very_cold,informal,Waterproof Boots,footwear,0,20,5,5,casual,0
22.3,21.1,86,2.7,clouds,summer,45+,elegant,very_cold,formal,Sunglasses,accessories,15,45,0,5,casual,0
-15.9,-18.2,65,0.5,snow,winter,35-45,business,cold,formal,Sunglasses,accessories,15,45,0,5,casual,0
29.7,26.2,70,9.7,rain,summer,25-35,elegant,very_cold,formal,Tank Top,upper,25,45,1,2,casual,0
-20.2,-22.4,60,5.0,clouds,winter,25-35,sporty,normal,formal,Hoodie,upper,8,20,5,3,sporty,0
21.8,23.0,47,2.7,clouds,spring,45+,elegant,normal,formal,Oxford Shoes,footwear,5,35,2,10,business,1
-14.0,-16.2,94,10.6,clear,winter,25-35,sporty,very_cold,informal,Jeans,lower,-5,25,4,5,casual,0
4.3,0.3,50,12.0,clear,autumn,25-35,sporty,very_warm,informal,Umbrella,accessories,-10,35,0,5,casual,1
28.5,26.1,76,6.9,clear,summer,45+,casual,very_cold,semi_formal,Down Jacket,outerwear,-25,5,9,5,casual,1
-0.0,-4.0,57,8.0,clouds,winter,45+,business,very_cold,semi_formal,Long Sleeve Shirt,upper,0,20,4,7,business,1
2.2,-0.9,67,2.6,snow,spring,25-35,business,warm,informal,Hoodie,upper,8,20,5,3,sporty,0
9.6,7.1,50,6.8,rain,spring,25-35,casual,cold,semi_formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
-13.6,-17.7,58,13.6,clouds,winter,35-45,business,very_warm,semi_formal,Waterproof Boots,footwear,0,20,5,5,casual,0
24.0,24.6,43,7.7,rain,summer,45+,sporty,very_cold,formal,Light Jacket,outerwear,10,20,4,6,casual,0
0.3,0.2,46,2.2,snow,winter,45+,elegant,normal,formal,Fleece Jacket,outerwear,0,15,6,4,sporty,1
28.4,24.5,63,9.1,rain,summer,35-45,business,cold,informal,Tank Top,upper,25,45,1,2,casual,0
18.9,19.5,32,1.4,rain,autumn,18-25,elegant,very_warm,formal,Linen Shirt,upper,22,38,1,7,business,0
32.7,33.0,86,1.5,clear,summer,25-35,casual,cold,semi_formal,Polo Shirt,upper,15,28,2,6,casual,1
31.5,28.2,51,7.5,clear,summer,45+,casual,very_cold,semi_formal,Cardigan,upper,5,18,5,6,casual,0
12.5,9.4,47,3.2,clear,summer,25-35,elegant,warm,semi_formal,Summer Dress,upper,20,35,1,6,elegant,1
-8.2,-13.2,92,14.3,clouds,winter,18-25,sporty,normal,informal,Scarf,accessories,-30,10,7,6,elegant,1
4.0,-0.6,30,14.2,clouds,winter,18-25,casual,normal,formal,Cardigan,upper,5,18,5,6,casual,1
